dataSource.vendor,dataSource.name,dataSource.category,status_detail,src_endpoint.location.region,actor.user.type,actor.user.name,actor.email_addr,src_endpoint.ip,unmapped.debug_context,status,unmapped.actor.alternateId,http_request.url.path
Okta,Okta,security,LOCKED_OUT,Tamil Nadu,User,Nebula Stardust,,203.0.113.6,,FAILURE,,/security/logs/intrusion-detection
Okta,Okta,security,LOCKED_OUT,Tamil Nadu,User,Celestia Thunderstorm,,127.0.0.1,,FAILURE,,/audit/logs/network
Okta,Okta,security,,Illinois,User,Valkyrie Firestorm,chris.martin@example.com,127.0.0.1,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Illinois,User,Astra Solarflare,emma.jenkins@examplemail.biz,198.51.100.3,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Illinois,User,Draven Nightshade,,172.16.0.8,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,Illinois,User,Valkyrie Firestorm,daniel.ward@virtualmail.io,172.16.0.6,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,New York,User,Seraphina Dragonheart,,203.0.113.9,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Arizona,User,Crimson Tempest,daniel.ward@virtualmail.io,172.16.0.6,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,Illinois,User,Seraphina Dragonheart,sarah.wilson@testingmail.xyz,192.0.2.7,,SUCCESS,,/audit/logs/network
Okta,Okta,security,,New York,User,Maximus Stormbringer,mike.anderson@mytestmail.org,198.51.100.1,,SUCCESS,,/audit/logs/network
Okta,Okta,security,,Texas,User,Celestia Thunderstorm,sarah.wilson@example.com,198.51.100.8,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,Illinois,User,Xena Nebulosa,mike.anderson@mytestmail.org,192.0.2.6,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,Illinois,User,Blaze Thunderstrike,chris.martin@sampleco.co,192.168.0.1,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,Texas,User,Zephyr Blaze,,198.51.100.2,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,Texas,User,Crimson Tempest,ryan.collins@fakemailbox.net,192.0.2.9,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,New York,User,Ragnarok Shadowblade,lisa.brown@nonexistentmail.net,203.0.113.5,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,New York,User,Celestia Thunderstorm,,10.0.0.5,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,Illinois,User,Astra Solarflare,mike.anderson@example.com,203.0.113.9,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,New Jersey,User,Nebula Stardust,chris.martin@sampleco.co,172.16.0.8,,SUCCESS,,/audit/logs/network
Okta,Okta,security,,California,User,Astra Solarflare,bob.jones@example.com,192.168.0.8,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,California,User,Phoenix Emberstorm,ryan.collins@fakemailbox.net,192.0.2.9,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,Arizona,User,Thunder Hammerstrike,mark.miller@yourtestmail.biz,172.16.0.6,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,New York,User,Orion Lightningstrike,kevin.green@example.com,172.16.0.1,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Illinois,User,Seraphina Dragonheart,melissa.kelly@dummyinbox.net,192.0.2.4,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,Arizona,User,Xena Nebulosa,ryan.collins@fakemailbox.net,198.51.100.8,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,California,User,Venus Starlight,alice.smith@example.com,192.0.2.2,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,Ohio,User,Orion Lightningstrike,jessica.clark@mockmailing.org,172.16.0.2,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,Illinois,User,Ignatius Inferno,,8.8.8.8,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,Ontario,User,Venus Starlight,sarah.wilson@testingmail.xyz,192.168.0.1,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,New York,User,Thunder Hammerstrike,kevin.green@placeholderemail.co,192.0.2.8,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,New York,User,Astra Solarflare,anna.hall@custommail.io,10.0.0.3,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,California,User,Maximus Stormbringer,daniel.ward@virtualmail.io,203.0.113.8,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,Ohio,User,Valkyrie Firestorm,alice.smith@example.org,172.16.0.4,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,Ohio,User,Astra Solarflare,alice.smith@example.org,203.0.113.7,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,Ohio,User,Zara Midnightshadow,lisa.brown@example.com,203.0.113.1,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,Ohio,User,Crimson Tempest,sarah.wilson@example.com,198.51.100.1,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,Illinois,User,Venus Starlight,john.doe@acme.com,192.0.2.9,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,Illinois,User,Ragnarok Shadowblade,john.doe@acme.com,192.168.0.5,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,,User,Celestia Thunderstorm,mike.anderson@example.com,10.0.0.3,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,New York,User,Ragnarok Shadowblade,laura.moore@sandboxmail.co,203.0.113.7,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,Illinois,User,Venus Starlight,bob.jones@example.com,192.0.2.3,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,Illinois,User,Luna Moonshadow,kevin.green@example.com,172.16.0.5,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,Illinois,User,Celestia Thunderstorm,alice.smith@example.org,203.0.113.5,,SUCCESS,,/audit/logs/network
Okta,Okta,security,,Illinois,User,Draven Nightshade,anna.hall@custommail.io,203.0.113.1,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,Texas,User,Crimson Tempest,,8.8.8.8,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,Illinois,User,Nebula Stardust,lisa.brown@nonexistentmail.net,172.16.0.2,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,Illinois,User,Ragnarok Shadowblade,lisa.brown@nonexistentmail.net,192.0.2.6,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Illinois,User,Maximus Stormbringer,emily.white@dummyemail.biz,192.0.2.7,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,New York,User,Draven Nightshade,sarah.wilson@example.com,198.51.100.2,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,Illinois,User,Astra Solarflare,,192.168.0.7,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,California,User,Venus Starlight,melissa.kelly@dummyinbox.net,192.0.2.7,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,Illinois,User,Valkyrie Firestorm,daniel.ward@virtualmail.io,192.168.1.1,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,New York,User,Phoenix Emberstorm,chris.martin@sampleco.co,198.51.100.9,,SUCCESS,,/audit/logs/network
Okta,Okta,security,,Illinois,User,Valkyrie Firestorm,emily.white@dummyemail.biz,10.0.0.4,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,Ohio,User,Valkyrie Firestorm,anna.hall@example.com,172.16.0.3,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,Illinois,User,Luna Moonshadow,bob.jones@example.com,192.168.0.6,,SUCCESS,,/audit/logs/network
Okta,Okta,security,,Virginia,User,Ragnarok Shadowblade,bob.jones@fakecorp.net,192.168.0.5,,SUCCESS,,/audit/logs/network
Okta,Okta,security,,Illinois,User,Nova Frostbane,mike.anderson@mytestmail.org,10.0.0.6,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,Illinois,User,Celestia Thunderstorm,anna.hall@example.com,192.0.2.6,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Arizona,User,Ragnarok Shadowblade,kevin.green@placeholderemail.co,172.16.0.2,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,Arizona,User,Ragnarok Shadowblade,,198.51.100.3,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,Illinois,User,Draven Nightshade,john.doe@acme.com,192.168.0.3,,SUCCESS,,/audit/logs/network
Okta,Okta,security,,Illinois,User,Blaze Thunderstrike,,203.0.113.8,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,Ohio,User,Crimson Tempest,emily.white@example.com,192.168.0.2,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Illinois,User,Zara Midnightshadow,brian.hughes@samplemailing.co,203.0.113.8,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,Illinois,User,Venus Starlight,mike.anderson@mytestmail.org,192.168.0.9,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,New York,User,Draven Nightshade,ryan.collins@fakemailbox.net,203.0.113.6,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,New York,User,Astra Solarflare,lisa.brown@example.com,192.168.0.8,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,Virginia,User,Ignatius Inferno,sarah.wilson@example.com,10.0.0.3,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,New York,User,Orion Lightningstrike,mike.anderson@mytestmail.org,192.168.0.8,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Virginia,User,Zephyr Blaze,,10.0.0.4,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,New York,User,Blaze Thunderstrike,lisa.brown@nonexistentmail.net,10.0.0.6,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,Arizona,User,Venus Starlight,ryan.collins@fakemailbox.net,192.168.0.7,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,Illinois,User,Ignatius Inferno,sarah.wilson@testingmail.xyz,203.0.113.1,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,Illinois,User,Ignatius Inferno,ryan.collins@fakemailbox.net,172.16.0.9,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,Illinois,User,Venus Starlight,,192.168.0.8,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,California,User,Ignatius Inferno,brian.hughes@samplemailing.co,192.168.0.7,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,New York,User,Crimson Tempest,,203.0.113.6,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,New York,User,Xena Nebulosa,sarah.wilson@testingmail.xyz,192.0.2.1,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,California,User,Draven Nightshade,emily.white@example.com,192.168.0.8,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,New York,User,Nebula Stardust,alice.smith@example.org,203.0.113.6,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,California,User,Ignatius Inferno,chris.martin@example.com,203.0.113.5,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,Illinois,User,Astra Solarflare,daniel.ward@virtualmail.io,10.0.0.9,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,Illinois,User,Thunder Hammerstrike,,172.16.0.8,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Illinois,User,Celestia Thunderstorm,kevin.green@example.com,192.0.2.5,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Texas,User,Orion Lightningstrike,alice.smith@example.com,203.0.113.4,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,Illinois,User,Astra Solarflare,laura.moore@sandboxmail.co,203.0.113.3,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,Arizona,User,Astra Solarflare,lisa.brown@example.com,192.168.1.1,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,Illinois,User,Xena Nebulosa,alice.smith@example.org,198.51.100.4,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,Arizona,User,Seraphina Dragonheart,jason.carter@tryoutmail.org,192.168.1.1,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,Illinois,User,Xena Nebulosa,anna.hall@custommail.io,192.0.2.9,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,New York,User,Draven Nightshade,bob.jones@fakecorp.net,192.168.0.2,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,New York,User,Nebula Stardust,emma.jenkins@examplemail.biz,192.168.1.1,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,New York,User,Xena Nebulosa,daniel.ward@virtualmail.io,203.0.113.8,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,Illinois,User,Venus Starlight,emily.white@example.com,192.0.2.1,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,Illinois,User,Blaze Thunderstrike,,172.16.0.6,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,Ohio,User,Orion Lightningstrike,emily.white@example.com,172.16.0.2,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Illinois,User,Luna Moonshadow,jessica.clark@mockmailing.org,192.0.2.2,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,Illinois,User,Draven Nightshade,chris.martin@sampleco.co,172.16.0.1,,SUCCESS,,/audit/logs/network
Okta,Okta,security,,Maharashtra,User,Zara Midnightshadow,chris.martin@example.com,198.51.100.7,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Arizona,User,Draven Nightshade,john.doe@acme.com,192.168.0.2,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Ohio,User,Blaze Thunderstrike,brian.hughes@samplemailing.co,198.51.100.8,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,New York,User,Seraphina Dragonheart,lisa.brown@nonexistentmail.net,1.1.1.1,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,Ohio,User,Zara Midnightshadow,alice.smith@example.org,203.0.113.3,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Illinois,User,Luna Moonshadow,emily.white@dummyemail.biz,192.168.0.5,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Virginia,User,Astra Solarflare,anna.hall@custommail.io,192.0.2.1,,SUCCESS,,/audit/logs/network
Okta,Okta,security,,Texas,User,Luna Moonshadow,jessica.clark@mockmailing.org,172.16.0.2,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Arizona,User,Zara Midnightshadow,laura.moore@sandboxmail.co,172.16.0.1,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Ohio,User,Ignatius Inferno,john.doe@example.com,203.0.113.7,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,Illinois,User,Maximus Stormbringer,melissa.kelly@dummyinbox.net,192.0.2.7,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Illinois,User,Celestia Thunderstorm,jessica.clark@mockmailing.org,10.0.0.1,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,New York,User,Astra Solarflare,sarah.wilson@example.com,203.0.113.5,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Illinois,User,Maximus Stormbringer,,10.0.0.3,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,Illinois,User,Valkyrie Firestorm,mark.miller@yourtestmail.biz,198.51.100.1,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,Florida,User,Xena Nebulosa,emma.jenkins@examplemail.biz,192.168.0.3,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,Illinois,User,Maximus Stormbringer,alice.smith@example.com,192.168.0.8,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,New York,User,Nebula Stardust,melissa.kelly@dummyinbox.net,127.0.0.1,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,Ohio,User,Seraphina Dragonheart,melissa.kelly@dummyinbox.net,192.0.2.4,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,New York,User,Phoenix Emberstorm,,10.0.0.6,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,Ohio,User,Celestia Thunderstorm,anna.hall@example.com,203.0.113.2,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,New York,User,Ragnarok Shadowblade,mike.anderson@example.com,172.16.0.9,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Ohio,User,Blaze Thunderstrike,mike.anderson@mytestmail.org,198.51.100.6,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,Ohio,User,Valkyrie Firestorm,jessica.clark@mockmailing.org,198.51.100.5,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,Illinois,User,Astra Solarflare,emily.white@example.com,203.0.113.1,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,Illinois,User,Seraphina Dragonheart,olivia.perry@testinginbox.xyz,192.168.0.2,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Illinois,User,Phoenix Emberstorm,melissa.kelly@dummyinbox.net,172.16.0.7,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,Ohio,User,Ignatius Inferno,lisa.brown@nonexistentmail.net,203.0.113.6,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,New York,User,Zara Midnightshadow,john.doe@acme.com,172.16.0.9,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,Arizona,User,Nebula Stardust,jason.carter@tryoutmail.org,10.0.0.5,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,New Jersey,User,Nebula Stardust,anna.hall@custommail.io,1.1.1.1,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Ohio,User,Crimson Tempest,alice.smith@example.org,172.16.0.2,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,Illinois,User,Ragnarok Shadowblade,anna.hall@example.com,172.16.0.4,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,New York,User,Luna Moonshadow,lisa.brown@nonexistentmail.net,192.168.0.2,,SUCCESS,,/security/logs/authentication-failures
Okta,Okta,security,,New York,User,Thunder Hammerstrike,laura.moore@sandboxmail.co,192.0.2.8,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,New York,User,Celestia Thunderstorm,kevin.green@placeholderemail.co,198.51.100.4,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Illinois,User,Crimson Tempest,chris.martin@example.com,192.168.0.7,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,Illinois,User,Zephyr Blaze,,192.0.2.4,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,New York,User,Blaze Thunderstrike,,10.0.0.3,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Ohio,User,Maximus Stormbringer,mike.anderson@example.com,203.0.113.4,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Illinois,User,Thunder Hammerstrike,john.doe@acme.com,172.16.0.6,,SUCCESS,,/audit/logs/network
Okta,Okta,security,,Ohio,User,Luna Moonshadow,daniel.ward@virtualmail.io,172.16.0.1,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Illinois,User,Nebula Stardust,jason.carter@tryoutmail.org,10.0.0.8,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,Illinois,User,Valkyrie Firestorm,alice.smith@example.com,192.168.0.3,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,New York,User,Nebula Stardust,daniel.ward@virtualmail.io,198.51.100.9,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,Illinois,User,Phoenix Emberstorm,jason.carter@tryoutmail.org,172.16.0.3,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,Illinois,User,Crimson Tempest,anna.hall@custommail.io,172.16.0.1,,SUCCESS,,/audit/logs/network
Okta,Okta,security,,Illinois,User,Nebula Stardust,,192.0.2.2,,SUCCESS,,/audit/logs/network
Okta,Okta,security,,Illinois,User,Venus Starlight,lisa.brown@example.com,192.0.2.7,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,Illinois,User,Celestia Thunderstorm,lisa.brown@nonexistentmail.net,8.8.8.8,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,New York,User,Valkyrie Firestorm,kevin.green@example.com,192.0.2.3,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,New York,User,Draven Nightshade,,10.0.0.7,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,Illinois,User,Blaze Thunderstrike,,10.0.0.9,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,Utah,User,Zara Midnightshadow,mark.miller@yourtestmail.biz,203.0.113.1,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Illinois,User,Crimson Tempest,mike.anderson@example.com,192.0.2.6,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Illinois,User,Celestia Thunderstorm,mike.anderson@example.com,192.168.1.1,,SUCCESS,,/oauth2/v1/token
Okta,Okta,security,,Ohio,User,Celestia Thunderstorm,mike.anderson@mytestmail.org,203.0.113.9,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,Ohio,User,Crimson Tempest,brian.hughes@samplemailing.co,203.0.113.9,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,New York,User,Blaze Thunderstrike,melissa.kelly@dummyinbox.net,10.0.0.7,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,New York,User,Nova Frostbane,anna.hall@example.com,198.51.100.1,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,New York,User,Thunder Hammerstrike,,10.0.0.5,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,North Carolina,User,Celestia Thunderstorm,chris.martin@sampleco.co,1.1.1.1,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,Illinois,User,Ragnarok Shadowblade,olivia.perry@testinginbox.xyz,10.0.0.3,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,New York,User,Blaze Thunderstrike,chris.martin@example.com,192.168.0.7,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,California,User,Phoenix Emberstorm,mike.anderson@mytestmail.org,172.16.0.6,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,Ohio,User,Xena Nebulosa,anna.hall@example.com,172.16.0.6,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,Illinois,User,Draven Nightshade,alice.smith@example.com,198.51.100.7,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,California,User,Valkyrie Firestorm,,198.51.100.9,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Illinois,User,Zara Midnightshadow,john.doe@acme.com,198.51.100.7,,SUCCESS,,/audit/logs/system
Okta,Okta,security,,Illinois,User,Thunder Hammerstrike,mark.miller@yourtestmail.biz,198.51.100.5,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,New York,User,Draven Nightshade,lisa.brown@example.com,172.16.0.7,,SUCCESS,,/audit/logs/access
Okta,Okta,security,,Illinois,User,Thunder Hammerstrike,sarah.wilson@example.com,192.168.0.9,,SUCCESS,,/oauth2/v1/introspect
Okta,Okta,security,,Illinois,User,Zephyr Blaze,,198.51.100.1,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,Illinois,User,Blaze Thunderstrike,alice.smith@example.org,203.0.113.4,,SUCCESS,,/security/logs/authorization
Okta,Okta,security,,Illinois,User,Maximus Stormbringer,emma.jenkins@examplemail.biz,203.0.113.3,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,Illinois,User,Draven Nightshade,bob.jones@fakecorp.net,192.168.0.2,,SUCCESS,,/security/logs/authentication
Okta,Okta,security,,Ohio,User,Celestia Thunderstorm,bob.jones@fakecorp.net,10.0.0.9,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,Ohio,User,Draven Nightshade,alice.smith@example.org,172.16.0.8,,SUCCESS,,/security/logs/intrusion-detection
Okta,Okta,security,,Illinois,User,Phoenix Emberstorm,emma.jenkins@examplemail.biz,172.16.0.7,,SUCCESS,,/audit/logs/network
Okta,Okta,security,,California,User,Draven Nightshade,olivia.perry@testinginbox.xyz,198.51.100.4,,SUCCESS,,/oauth2/v1/authorize
Okta,Okta,security,,Illinois,User,Crimson Tempest,john.doe@acme.com,192.0.2.7,,SUCCESS,,/audit/logs/network
