dataSource.vendor,metadata.product.name,metadata.product.vendor_name,dataSource.name,dataSource.category,src_endpoint.location.region,device.uid,actor.authorization.policy.rule.name,unmapped.client.userAgent.browser,status,unmapped.client.userAgent.os,event.type,status_detail,actor.user.name,actor.user.email_addr,actor.user.type_id,actor.user.type,dst_endpoint.svc_name,src_endpoint.ip,http_request.url.path,activity_name,device.hostname,severity,user.name,count
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC authorization code request,,Phoenix Emberstorm,chris.martin@example.com,11,,,,,OIDC authorization code request,,3,,48
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC id token is granted,,Seraphina Dragonheart,kevin.green@example.com,11,,,,,OIDC id token is granted,,3,,48
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Verify user identity,,Thunder Hammerstrike,sarah.wilson@testingmail.xyz,8,,,,,Verify user identity,,3,,44
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Linux,Logon,,Maximus Stormbringer,melissa.kelly@dummyinbox.net,8,User,Zoom,192.168.0.2,/audit/logs/access,Logon,,3,Venus Starlight,42
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Linux,Logon,,Nova Frostbane,john.doe@acme.com,8,User,,172.16.0.4,/audit/logs/system,Logon,,3,,42
Okta,Okta,Okta,Okta,security,,,,,FAILURE,,Claim evaluation for OAuth2 token,user_claim_evaluation_failure,Ragnarok Shadowblade,sarah.wilson@example.com,11,,,,,Claim evaluation for OAuth2 token,,3,,41
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC access token is granted,,Xena Nebulosa,chris.martin@sampleco.co,11,,,,,OIDC access token is granted,,3,,41
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC authorization code request,,Draven Nightshade,jason.carter@tryoutmail.org,11,,,,,OIDC authorization code request,,3,,41
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC id token is granted,,Valkyrie Firestorm,emma.jenkins@examplemail.biz,11,,,,,OIDC id token is granted,,3,,41
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Verify user identity,,Xena Nebulosa,john.doe@acme.com,8,,,,,Verify user identity,,3,,38
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC authorization code request,,Thunder Hammerstrike,emma.jenkins@examplemail.biz,11,,,,,OIDC authorization code request,,3,,35
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC access token is granted,,Zephyr Blaze,alice.smith@example.com,11,,,,,OIDC access token is granted,,3,,34
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC id token is granted,,Nova Frostbane,daniel.ward@virtualmail.io,11,,,,,OIDC id token is granted,,3,,34
Okta,Okta,Okta,Okta,security,Illinois,,Allow if on prem,CHROMIUM_EDGE,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,192.0.2.6,/oauth2/v1/introspect,Logon,,3,,34
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC authorization code request,,Zephyr Blaze,kevin.green@example.com,11,,,,,OIDC authorization code request,,3,,29
Okta,Okta,Okta,Okta,security,Illinois,,Require Password,CHROMIUM_EDGE,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,203.0.113.6,/security/logs/authentication,Logon,,3,,29
Okta,Okta,Okta,Okta,security,Illinois,,Require Password,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,203.0.113.5,/security/logs/authorization,Logon,,3,,28
Okta,Okta,Okta,Okta,security,Ohio,,On Office Network,UNKNOWN,ALLOW,Linux,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,127.0.0.1,/audit/logs/network,Logon,,3,,27
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Linux,Logon,,Maximus Stormbringer,daniel.ward@virtualmail.io,8,User,Cloudflare,192.0.2.5,/audit/logs/network,Logon,,3,Astra Solarflare,26
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Linux,Logon,,Venus Starlight,mark.miller@yourtestmail.biz,8,User,,192.168.0.3,/audit/logs/network,Logon,,3,,26
Okta,Okta,Okta,Okta,security,Illinois,,,UNKNOWN,SUCCESS,Unknown,Logon,,Maximus Stormbringer,bob.jones@example.com,8,User,Okta,192.168.0.8,/security/logs/authentication,Logon,,3,Zara Midnightshadow,25
Okta,Okta,Okta,Okta,security,Illinois,,,UNKNOWN,SUCCESS,Linux,Logon,,Valkyrie Firestorm,sarah.wilson@testingmail.xyz,8,User,,192.0.2.7,/security/logs/intrusion-detection,Logon,,3,,25
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC authorization code request,,Blaze Thunderstrike,john.doe@example.com,11,,,,,OIDC authorization code request,,3,,24
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Verify user identity,,Blaze Thunderstrike,lisa.brown@example.com,8,,,,,Verify user identity,,3,,24
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Unknown,Logon,,Astra Solarflare,bob.jones@fakecorp.net,8,User,DocuSign,192.0.2.6,/oauth2/v1/introspect,Logon,,3,Venus Starlight,24
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Linux,Logon,,Nebula Stardust,sarah.wilson@example.com,8,User,,198.51.100.9,/audit/logs/network,Logon,,3,,24
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC access token is granted,,Ignatius Inferno,john.doe@example.com,11,,,,,OIDC access token is granted,,3,,23
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC id token is granted,,Luna Moonshadow,mark.miller@yourtestmail.biz,11,,,,,OIDC id token is granted,,3,,23
Okta,Okta,Okta,Okta,security,Illinois,,Require Password,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,198.51.100.2,/oauth2/v1/token,Logon,,3,,23
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OAuth2 authorization code request,,Draven Nightshade,anna.hall@example.com,11,,,,,OAuth2 authorization code request,,3,,23
Okta,Okta,Okta,Okta,security,New York,,Require Password,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,10.0.0.8,/oauth2/v1/introspect,Logon,,3,,23
Okta,Okta,Okta,Okta,security,Illinois,,Allow if on prem,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,10.0.0.7,/audit/logs/access,Logon,,3,,22
Okta,Okta,Okta,Okta,security,Illinois,,DDS - No MFA - On Prem,CHROMIUM_EDGE,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,198.51.100.6,/security/logs/authentication-failures,Logon,,3,,21
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Linux,Logon,,Astra Solarflare,alice.smith@example.com,8,User,Microsoft 365,203.0.113.6,/oauth2/v1/token,Logon,,3,Celestia Thunderstorm,21
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Linux,Logon,,Xena Nebulosa,alice.smith@example.com,8,User,,172.16.0.9,/oauth2/v1/authorize,Logon,,3,,21
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Verify user identity,,Astra Solarflare,mike.anderson@mytestmail.org,8,,,,,Verify user identity,,3,,21
Okta,Okta,Okta,Okta,security,Illinois,,DDS - Require MFA - On Prem,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in REQUIRE_FACTOR,,,8,,,10.0.0.2,/security/logs/authentication,Logon,,3,,20
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OAuth2 access token is granted,,Seraphina Dragonheart,laura.moore@sandboxmail.co,11,,,,,OAuth2 access token is granted,,3,,20
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OAuth2 id token is granted,,Seraphina Dragonheart,mike.anderson@mytestmail.org,11,,,,,OAuth2 id token is granted,,3,,20
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Linux,Logon,,Luna Moonshadow,daniel.ward@virtualmail.io,8,User,,203.0.113.5,/oauth2/v1/token,Logon,,3,,19
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Verify user identity,,Ignatius Inferno,john.doe@acme.com,8,,,,,Verify user identity,,3,,19
Okta,Okta,Okta,Okta,security,Illinois,,DDS - No MFA - On Prem,UNKNOWN,ALLOW,Linux,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,192.168.0.6,/audit/logs/access,Logon,,3,,19
Okta,Okta,Okta,Okta,security,Illinois,,Allow if on prem,CHROMIUM_EDGE,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,10.0.0.9,/security/logs/authorization,Logon,,3,,19
Okta,Okta,Okta,Okta,security,Illinois,,DDS - No MFA - On Prem,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,10.0.0.1,/security/logs/authentication-failures,Logon,,3,,19
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Linux,Logon,,Orion Lightningstrike,bob.jones@example.com,8,User,Stripe,203.0.113.0,/audit/logs/network,Logon,,3,Nova Frostbane,18
Okta,Okta,Okta,Okta,security,New York,,Require Password,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,172.16.0.1,/audit/logs/system,Logon,,3,,18
Okta,Okta,Okta,Okta,security,Illinois,,,UNKNOWN,SUCCESS,Unknown,Logon,,Seraphina Dragonheart,daniel.ward@virtualmail.io,8,User,Workday,198.51.100.8,/security/logs/authentication-failures,Logon,,3,Seraphina Dragonheart,18
Okta,Okta,Okta,Okta,security,Illinois,,,UNKNOWN,SUCCESS,Linux,Logon,,Astra Solarflare,sarah.wilson@example.com,8,User,,203.0.113.0,/oauth2/v1/introspect,Logon,,3,,18
Okta,Okta,Okta,Okta,security,Illinois,,DDS - No MFA - On Prem,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,172.16.0.6,/oauth2/v1/introspect,Logon,,3,,18
Okta,Okta,Okta,Okta,security,Illinois,,DDS - On Prem - Require Password,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,192.168.0.1,/security/logs/authorization,Logon,,3,,17
Okta,Okta,Okta,Okta,security,Illinois,,Allow if on prem,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,192.168.0.8,/oauth2/v1/token,Logon,,3,,17
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC access token is granted,,Venus Starlight,bob.jones@fakecorp.net,11,,,,,OIDC access token is granted,,3,,17
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC authorization code request,,Xena Nebulosa,bob.jones@example.com,11,,,,,OIDC authorization code request,,3,,17
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC id token is granted,,Celestia Thunderstorm,mike.anderson@mytestmail.org,11,,,,,OIDC id token is granted,,3,,17
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,A push was sent to a user for verification,,Venus Starlight,chris.martin@example.com,8,,,,,A push was sent to a user for verification,,3,,16
Okta,Okta,Okta,Okta,security,Telangana,,DDS - Require MFA - All Zones,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in REQUIRE_FACTOR,,,8,,,192.168.0.2,/audit/logs/access,Logon,,3,,16
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Verify user identity,,Thunder Hammerstrike,daniel.ward@virtualmail.io,8,,,,,Verify user identity,,3,,16
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Authentication of user via MFA,,Ragnarok Shadowblade,emily.white@dummyemail.biz,8,,,,,Authentication of user via MFA,,3,,15
Okta,Okta,Okta,Okta,security,Illinois,,DDS - No MFA - On Prem,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,10.0.0.2,/oauth2/v1/introspect,Logon,,3,,15
Okta,Okta,Okta,Okta,security,Arizona,,,CHROME,SUCCESS,Android,Logon,,Nova Frostbane,alice.smith@example.org,8,User,,192.168.0.2,/oauth2/v1/authorize,Logon,https://www.ideapalooza.foundation,3,,14
Okta,Okta,Okta,Okta,security,Arizona,,,CHROME,SUCCESS,Android,Logon,,Nova Frostbane,bob.jones@fakecorp.net,8,User,Oracle Cloud,10.0.0.6,/oauth2/v1/authorize,Logon,,3,Maximus Stormbringer,14
Okta,Okta,Okta,Okta,security,Arizona,,Allow external access for  NICE_EEM_Agent,CHROME,ALLOW,Android,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,172.16.0.9,/audit/logs/access,Logon,,3,,14
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Verify user identity,,Celestia Thunderstorm,kevin.green@example.com,8,,,,,Verify user identity,,3,,14
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Verify user identity,,Zara Midnightshadow,mike.anderson@mytestmail.org,8,,,,,Verify user identity,,3,,14
Okta,Okta,Okta,Okta,security,Illinois,,DDS - No MFA - On Prem,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,10.0.0.6,/security/logs/intrusion-detection,Logon,,3,,14
Okta,Okta,Okta,Okta,security,Illinois,,Require Password,CHROMIUM_EDGE,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,192.0.2.7,/security/logs/intrusion-detection,Logon,,3,,14
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,A push was sent to a user for verification,,Zephyr Blaze,lisa.brown@nonexistentmail.net,8,,,,,A push was sent to a user for verification,,3,,14
Okta,Okta,Okta,Okta,security,Illinois,,,UNKNOWN,SUCCESS,Unknown,Logon,,Crimson Tempest,olivia.perry@testinginbox.xyz,8,User,ZenDesk,192.168.1.1,/audit/logs/system,Logon,,3,Astra Solarflare,13
Okta,Okta,Okta,Okta,security,Illinois,,,UNKNOWN,SUCCESS,Linux,Logon,,Celestia Thunderstorm,jessica.clark@mockmailing.org,8,User,,192.168.0.6,/oauth2/v1/token,Logon,,3,,13
Okta,Okta,Okta,Okta,security,Illinois,,DDS - No MFA - On Prem,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,172.16.0.4,/audit/logs/network,Logon,,3,,13
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Authentication of user via MFA,,Ignatius Inferno,john.doe@example.com,8,,,,,Authentication of user via MFA,,3,,13
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,A push was sent to a user for verification,,Zara Midnightshadow,anna.hall@example.com,8,,,,,A push was sent to a user for verification,,3,,13
Okta,Okta,Okta,Okta,security,Illinois,,DDS - No MFA - On Prem,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,192.168.1.1,/audit/logs/system,Logon,,3,,13
Okta,Okta,Okta,Okta,security,Arizona,6a271f0d-af67-4e3b-9dfe-39909bb3e376,not on office network,CHROME,ALLOW,Android,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,192.0.2.5,/security/logs/authentication-failures,Logon,,3,,13
Okta,Okta,Okta,Okta,security,New York,,Require Password,CHROMIUM_EDGE,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,10.0.0.4,/audit/logs/network,Logon,,3,,13
Okta,Okta,Okta,Okta,security,Illinois,,DDS - No MFA - On Prem,CHROMIUM_EDGE,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,198.51.100.8,/security/logs/authentication,Logon,,3,,13
Okta,Okta,Okta,Okta,security,,,,,FAILURE,,Authentication of user via Radius,Login failed.,Seraphina Dragonheart,emma.jenkins@examplemail.biz,8,,,,,Authentication of user via Radius,,3,,13
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Linux,Logon,,Crimson Tempest,kevin.green@example.com,8,User,Stripe,192.0.2.5,/oauth2/v1/token,Logon,,3,Xena Nebulosa,12
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Linux,Logon,,Nova Frostbane,jessica.clark@mockmailing.org,8,User,,172.16.0.8,/security/logs/authentication,Logon,,3,,12
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Verify user identity,,Valkyrie Firestorm,kevin.green@example.com,8,,,,,Verify user identity,,3,,12
Okta,Okta,Okta,Okta,security,Illinois,,,UNKNOWN,SUCCESS,Linux,Logon,,Ragnarok Shadowblade,brian.hughes@samplemailing.co,8,User,LogMeIn,172.16.0.4,/audit/logs/system,Logon,,3,Nova Frostbane,12
Okta,Okta,Okta,Okta,security,Illinois,,,UNKNOWN,SUCCESS,Linux,Logon,,Orion Lightningstrike,laura.moore@sandboxmail.co,8,User,,192.168.0.6,/security/logs/authentication,Logon,,3,,12
Okta,Okta,Okta,Okta,security,Illinois,,DDS - No MFA - On Prem,CHROME,ALLOW,Windows 10,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,203.0.113.2,/oauth2/v1/token,Logon,,3,,12
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Verify user identity,,Zephyr Blaze,john.doe@acme.com,8,,,,,Verify user identity,,3,,12
